Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
7791997,"Crescendo (Hush, Hush, #2)",Becca Fitzpatrick,"Fitzpatrick, Becca",,"=""1416989439""","=""9781416989431""",0,4.06,Simon & Schuster Books for Young Readers,Hardcover,432,2010,2010,,2019/04/23,to-read,to-read (#491),to-read,,,,0,,,0,,,,,
110393,"It's in His Kiss (Bridgertons, #7)",Julia Quinn,"Quinn, Julia",,"=""006053124X""","=""9780060531249""",0,4.02,Avon Books,Mass Market Paperback,384,2005,2005,,2019/04/23,to-read,to-read (#492),to-read,,,,0,,,0,,,,,
425377,"Lord of Scoundrels (Scoundrels, #3)",Loretta Chase,"Chase, Loretta",,"=""0380776162""","=""9780380776160""",0,4.11,Avon Books,Mass Market Paperback,375,1995,1995,,2019/04/23,to-read,to-read (#490),to-read,,,,0,,,0,,,,,
628139,"Sea Swept (Chesapeake Bay Saga, #1)",Nora Roberts,"Roberts, Nora",,"=""0515121843""","=""9780515121841""",0,4.24,Berkley Books,Mass Market Paperback,330,1998,1998,,2019/04/23,to-read,to-read (#489),to-read,,,,0,,,0,,,,,
29283884,"The Gentleman's Guide to Vice and Virtue (Montague Siblings, #1)",Mackenzi Lee,"Lee, Mackenzi",,"=""0062382802""","=""9780062382801""",0,4.15,Katherine Tegen Books,Hardcover,513,2017,2017,,2019/04/23,to-read,to-read (#487),to-read,,,,0,,,0,,,,,
16085481,"Crazy Rich Asians (Crazy Rich Asians, #1)",Kevin Kwan,"Kwan, Kevin",,"=""0385536976""","=""9780385536974""",0,3.83,Doubleday,Hardcover,403,2013,2013,,2019/04/23,to-read,to-read (#488),to-read,,,,0,,,0,,,,,
35247769,"Always and Forever, Lara Jean (To All the Boys I've Loved Before, #3)",Jenny Han,"Han, Jenny",,"=""1481430483""","=""9781481430487""",0,4.16,Simon  Schuster Books for Young Readers,Hardcover,325,2017,2017,,2019/04/23,to-read,to-read (#485),to-read,,,,0,,,0,,,,,
6264710,"Tempt Me at Twilight (The Hathaways, #3)",Lisa Kleypas,"Kleypas, Lisa",,"=""0312949820""","=""9780312949822""",0,4.18,St. Martin's Paperbacks,Mass Market Paperback,373,2009,2009,,2019/04/23,to-read,to-read (#486),to-read,,,,0,,,0,,,,,
114159,"Blue Dahlia (In the Garden, #1)",Nora Roberts,"Roberts, Nora",,"=""0749935332""","=""9780749935337""",0,4.12,Piatkus,Mass Market Paperback,372,2004,2004,,2019/04/23,to-read,to-read (#484),to-read,,,,0,,,0,,,,,
10766509,The Best of Me,Nicholas Sparks,"Sparks, Nicholas",,"=""0446547654""","=""9780446547659""",0,3.92,Grand Central Publishing,Hardcover,292,2011,2010,,2019/04/23,to-read,to-read (#483),to-read,,,,0,,,0,,,,,
